"Time","F1","F2","F3",
2.94,0.11,0.3,0.3,
2.95,0.11,0.3,0.3,
2.96,0.11,0.3,0.3,
2.97,0.1,0.3,0.3,
2.98,0.1,0.3,0.3,
2.99,0.113446,0.3,0.3,
3,0.113446,0.3,0.3,
3.01,0.113446,0.3,0.3,
3.02,0.113446,0.3,0.3,
3.03,0.113446,0.3,0.3,
3.04,0.113446,0.3,0.3,
3.05,0.113446,0.3,0.3,
3.06,0.113446,0.3,0.3,
3.07,0.113446,0.3,0.3,
3.08,0.11,0.3,0.3,
3.09,0.11,0.3,0.3,
3.1,0.11,0.3,0.3,
3.11,0.11,0.3,0.3,
3.12,0.11,0.3,0.3,
3.13,0.11,0.3,0.3,
3.14,0.11,0.3,0.3,
3.15,0.11,0.3,0.3,
3.16,0.11,0.3,0.3,
3.17,0.11,0.3,0.3,
3.18,0.11,0.3,0.3,
3.19,0.11,0.3,0.3,
3.2,0.11,0.3,0.3,
3.21,0.11,0.3,0.3,
3.22,0.11,0.3,0.3,
3.23,0.11,0.3,0.3,
3.24,0.11,0.3,0.3,
3.25,0.11,0.3,0.3,
3.26,0.11,0.3,0.3,
3.27,0.11,0.3,0.3,
3.28,0.11,0.3,0.3,
3.29,0.11,0.3,0.3,
3.3,0.11,0.3,0.3,
3.31,0.11,0.3,0.3,
3.32,0.11,0.3,0.3,
3.33,0.11,0.3,0.3,
3.34,0.11,0.3,0.3,
3.35,0.11,0.3,0.3,
3.36,0.11,0.3,0.3,
3.37,0.11,0.3,0.3,
3.38,0.11,0.3,0.3,
3.39,0.11,0.3,0.3,
3.4,0.1,0.3,0.3,
3.41,0.1,0.3,0.3,
3.42,0.1,0.3,0.3,
3.43,0.1,0.3,0.3,
3.44,0.1,0.3,0.3,
3.45,0.1,0.3,0.3,
3.46,0.1,0.3,0.3,
3.47,0.1,0.3,0.3,
3.48,0.1,0.3,0.3,
3.49,0.1,0.3,0.3,
3.5,0.1,0.3,0.3,
3.51,0.1,0.3,0.3,
3.52,0.1,0.3,0.3,
3.53,0.1,0.3,0.3,
3.54,0.1,0.3,0.3,
3.55,0.1,0.3,0.3,
3.56,0.1,0.3,0.3,
3.57,0.1,0.3,0.3,
3.58,0.1,0.3,0.3,
3.59,0.1,0.3,0.3,
3.6,0.1,0.3,0.3,
3.61,0.1,0.3,0.3,
3.62,0.1,0.3,0.3,
3.63,0.1,0.3,0.3,
3.64,0.1,0.3,0.3,
3.65,0.1,0.3,0.3,
3.66,0.1,0.3,0.3,
3.67,0.1,0.3,0.3,
