"Time","H1","H2",
5.2,0,10,
5.21,0,0.9,
5.22,0.6976,0,
5.23,0,10,
5.24,0,1.1,
5.25,0.7104,0,
5.26,0,10,
5.27,0,1.3,
5.28,0.7232,0,
5.29,0,10,
5.3,0,1.5,
5.31,0.736,0,
5.32,0,10,
5.33,0,1.7,
5.34,0.7488,0,
5.35,0,10,
5.36,0,1.9,
5.37,0.7616,0,
5.38,0,10,
5.39,0,2.1,
5.4,0.7744,0,
5.41,0,10,
5.42,0,2.3,
5.43,0.7872,0,
5.44,0,10,
5.45,0,2.5,
5.46,0.8,0,
5.47,0,10,
5.48,0,2.7,
5.49,0.8128,0,
5.5,0,10,
5.51,0,2.9,
5.52,0.8256,0,
5.53,0,10,
5.54,0,3.1,
5.55,0.8384,0,
5.56,0,10,
5.57,0,3.3,
5.58,0.8512,0,
5.59,0,10,
5.6,0,3.5,
5.61,0.864,0,
5.62,0,10,
5.63,0,3.7,
5.64,0.8768,0,
5.65,0,10,
5.66,0,3.9,
5.67,0.8896,0,
5.68,0,10,
5.69,0,4.1,
5.7,0.9024,0,
